Serial,Symbol,Company Name,Screener Stock Symbol,Screener Stock Url
1,RELIANCE,Reliance Industries Limited,RELIANCE,https://www.screener.in/company/RELIANCE/consolidated/
2,TCS,Tata Consultancy Services Limited,TCS,https://www.screener.in/company/TCS/consolidated/
1689,RAMANEWS,Shree Rama Newsprint Limited,RAMANEWS,https://www.screener.in/company/RAMANEWS/
1517,IZMO,IZMO Limited,IZMO,https://www.screener.in/company/IZMO/consolidated/
2033,SERVICE,Service Care Limited,SERVICE,https://www.screener.in/company/SERVICE/
883,AXISCADES,AXISCADES Technologies Limited,AXISCADES,https://www.screener.in/company/AXISCADES/consolidated/
527,RESPONIND,Responsive Industries Limited,RESPONIND,https://www.screener.in/company/RESPONIND/consolidated/
1518,SINTERCOM,Sintercom India Limited,SINTERCOM,https://www.screener.in/company/SINTERCOM/
626,ITDC,India Tourism Development Corporation Limited,ITDCEM,https://www.screener.in/company/ITDCEM/consolidated/
720,ROSSARI,Rossari Biotech Limited,ROSSARI,https://www.screener.in/company/ROSSARI/consolidated/
803,BLSE,BLS E-Services Limited,BLSE,https://www.screener.in/company/BLSE/consolidated/
140,MRF,MRF Limited,MRF,https://www.screener.in/company/MRF/consolidated/
321,CGCL,Capri Global Capital Limited,CGCL,https://www.screener.in/company/CGCL/consolidated/
107,SOLARINDS,Solar Industries India Limited,SOLARINDS,https://www.screener.in/company/SOLARINDS/consolidated/
1251,ALPEXSOLAR,Alpex Solar Limited,ALPEXSOLAR,https://www.screener.in/company/ALPEXSOLAR/consolidated/
